Movie Name,Movie Id,Review Content,tmdb Rating,User Rating,Genre(s),Not A Movie?,Release Date,Production Company
The Enforcer,846433,"Now Jason Statham (and Bruce Willis) have made some dross in their time, but somehow I never quite expected Antonio Banderas to have to eke out a living doing the same kind of derivate action drama. Well here he is ""Cuda"" (as in Barracuda!) who is charged by mobster ""Estelle"" (Kate Bosworth) to lick yard-fighter ""Stray"" (Mojean Aria) into shape so he can help him collect her tributes - from an increasingly independently-minded bunch of cyber-sex affiliates. What follows now is an amalgam of cheap and cheerful thriller and romance as both men find their attentions drawn to young women (for completely different reasons) who are going to have a profound impact on just about everybody's lives. It's terribly over-scripted with the ending - much like the rest of it - being pretty risible and leaving the whole film resembling an assembly of cutting room out-takes from numerous other similarly high budget, low quality, productions. It's only ninety minutes, so that's a blessing - but why this is on general release anywhere is anyone's guess. I can assure you that it's not worth paying to see.",7.356,5.0,"Action,Thriller,Drama",False,2022-09-22,Born to Burn Films
Everything Everywhere All at Once,545611,"FULL SPOILER-FREE REVIEW @ https://www.msbreviews.com/movie-reviews/everything-everywhere-all-at-once-spoiler-free-review  ""Everything Everywhere All at Once is undoubtedly one of the best movies of the year, finally putting Daniels on the mainstream radar.  With such a low budget, it's almost humiliating that so many expensive Hollywood blockbusters can't even reach the heels of so much originality, imagination, excitement, and emotion. Michelle Yeoh leads the troops in a film that also pays homage to the iconic career of the actress who, at 59 years old, accompanies the fantastic stunt team in truly outlandish fights.  The mother-daughter relationship as the emotional core of the story follows a surprisingly predictable path and needs a few more dialogues to deliver an even more powerful climax, but it still induces tears and a genuine sense of concern for the characters.  Technically, all the elements are so creatively unique that it warrants the clickbait ""you've never seen anything like this"".  See it in theaters!""  Rating: A",7.901,9.0,"Action,Adventure,Science Fiction",False,2022-03-24,AGBO
Puss in Boots: The Last Wish,315162,"Puss in Boots: The Last Wish had a lot to live up to as most of my critic and casual friends have been praising the film, and for the most part the film delivers.  From the opening frames, the unique art style fills the screen and is incredibly captivating. There is some excellent combination of 3D animation with 2D styles that I have not seen before. The combat frame rate shift was also a nice touch that worked better than I was expecting. Action was top notch with some incredible set pieces and superb choreography.  The Last Wish deals with some pretty heavy themes for an animated children's movie. Death is something that all humans will have to face which was handled in such a nuanced and mature way here. From panic attacks to haunting imagery, death looms large throughout the entire film and serves as a menacing villain. The journey our heroes take to confront this fear is very heartwarming and will resonant with most audience members.  With most DreamWorks pictures, the comedy is targeted at both children and adults. I did find myself laughing out loud at plenty of jokes, but just as many landed flat for me. This would be more of an issue, but this is an incredibly balanced film with great action and dramatic moments that leave little room for a few flat jokes to make a large impact on my experience.  I genuinely believe that this movie has restored the Shrek universe and can propel the future projects upward. Hype has officially been restored for Shrek 5!  Score: 86% Verdict: Great",8.329,9.0,"Animation,Adventure,Comedy,Family",False,2022-12-07,DreamWorks Animation
My Name Is Vendetta,873126,"My first impression, having watched Vendetta is its essentially, a basic, Leon The Assassin, knock off.  Loaded down with the usual trite woke baggage, Vendetta is a Leon the Assassin clone, minus most of the charm, heart and appeal, that made the former so endearing and memorable.   To be fair, acting is of a high standard. Its by no means the actors fault this is unremarkable. Its story is too much a facsimile of an earlier and much superior film, to merit more than passing interest.   In summary, hardly original, woke but well acted, nonetheless.",6.819,5.0,"Action,Crime,Thriller",False,2022-11-30,Colorado Film
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,876792,"I was really quite disappointed with this rather dryly animated fantasy adventure. It all starts when poor old ""Mikami"" gets himself murdered and is reincarnated in another world where he is thrust into a maelstrom of adventures centring around the beautiful, but mysterious, Queen ""Towa"" of the small kingdom of ""Raja"". She has been served loyally for many years by the ogre warrior ""Hiro"" who now has his work cut out for him when she falls ill and their water supply appears to have become distinctly malignant! His travels for an answer unite him with our recently arrived ""Rimuru"" who has already attained the status of demon lord and now they must strive to get to source of this malevolent curse in time. I suppose my biggest problem with this, is that the characterisations are drawn entirely from the preceding series'. If you don't know about them (I didn't) then much of this takes quite a while to get straight in your mind; who's who, etc. That's a shame, because as a well produced stand-alone movie, it ought to have acknowledged that new viewers, less familiar viewers, might want to join in. Yasuhito Kikuchi makes no such effort and so, largely devoid of character development, I felt rather out in the cold watching with little sense of involvement. It's still quite a passable adventure story, and there is plenty of action - but I felt a little as if I was watching through the (closed) shop window.",6.9,6.0,"Animation,Fantasy,Adventure",False,2022-11-25,8bit
Creed III,677179,"While Creed III may not be the best in the franchise, it brings enough creativity and passion to the table to keep the series fresh.  The Rocky/Creed franchise is at its best when the villain is just as, if not more, interesting than our protagonist, and that is not more evident than in Creed III. Damien Anderson (expertly played by Jonathan Majors) is a very sympathetic antagonist that has a direct connection with Adonis Creed’s past. This connection is at the forefront of the conflict as Creed tries to reconcile with his past mistakes while also being true to his present self. This back and forth is excellently done and evolves Creed further as a boxer and a man. I really enjoyed this story overall, and while it may not be the most unique script to hit the silver screen, it does enough to differentiate itself from the rest of the Rocky universe, and I can respect that.  The acting in this film is excellent, as it has been in previous Creed films. I thought that there might be a hole left by the absence of Sylvester Stallone, but I really did not notice it at all. Michael B. Jordan is able to get the best out of the entire cast, and everyone is better than ever. Tessa Thompson is fantastic; her chemistry with Jordan is incredible. The addition of their daughter creates a very wholesome family dynamic. Jonathan Majors is superb; he is intimidating, tragic, and full of emotion that the audience can genuinely resonate with. His anger is justified, and his portrayal of this angry kid who had his life taken from him is incredibly genuine. He was one of the best parts of the film.  With Michael B. Jordan behind the camera, this film has the most unique cinematography in the entire series. Jordan takes some liberties with the material that came before to deliver a modern spin on the boxing genre. Where previous films tried to have a broadcast experience grounded in grit and realism, Creed III turns that on its head, delivering the most stunning action scenes I have ever seen. The anime inspiration is apparent, with slow motion used sparingly but effectively. The finale fight has some very creative choices that create an intimate connection between our two leads that is a great backdrop to not only the fight but the story as a whole.  Overall, I had an excellent time watching Creed III. Michael B. Jordan had a wonderful directorial debut, creating a film that left me with a huge smile on my face.  Score: 92% | Verdict: Excellent",7.062,9.0,Drama,False,2023-03-01,Metro-Goldwyn-Mayer
The Intouchables,77338,Funny and moving for a difficult topic to talk about. François Cluzet and Omar Sy perform amazingly well although the rest of the cast is also very good.,8.274,9.0,"Drama,Comedy",False,2011-11-02,Gaumont
All Quiet on the Western Front,49046,"A fascinating film with potential that was never fully achieved. “All Quiet on the Western Front” does not rely solely on shock value to disturb its audience; instead, it uses the horrors of war to sober them with facts and dismal realities. The film's story was worth telling; it left an impression long after the credits rolled. It dealt with many weighty themes, including a young man's journey through war, the difficulties of combat, the cruelty of desperation, and the value of friendship and camaraderie, all of which were handled with grace and artistry. Furthermore, it boasted first-rate production values, breathtaking visuals, a terrific score (although maybe a tad bit over the top), and stellar acting. Although there is much to praise about the film, “All Quiet on the Western Front” is ultimately hampered by its drawn-out length, the plot dragging in spots, and several confusing moments. All the pieces were in place for “All Quiet on the Western Front” to be the best picture of the year, and in some respects, it is. Fans of the genre, or anyone who appreciates a well-made film, should not miss this film despite its limitations. ___ Rating: ***7.5/10*** *(Impressive, yet it doesn't quite hit the mark in every respect)*",7.776,7.0,"Drama,War,History",False,2022-10-07,RocketScience
The Wandering Earth II,842675,"Now then, it's best - I think - to just accept that there is very, very, little plausible science to this save-the-planet movie. The format, and the story, have oft been done by Hollywood before so it's not top of the originality tree either - but it's still quite a watchable and well produced story of a group of Chinese trainees who must raise their game when they find themselves trying to save the infrastructure being built to help save the planet from terrorists. It's extremely perilous for them, their enemy is sophisticated and well entrenched. When the moon becomes unstable, it again falls to them to stop it crashing into the Earth before a carefully placed series of thousands of engines around the globe can be activated to propel us all out of danger and off to a new orbit around Alpha Centauri. The acting talents and the dialogue are really neither here nor there, but the visual effects - especially at the start - are effective and the pace of the film is as times entertaining as this dedicated team - and others from around the world - must unite to thwart the unseen enemy and rescue mankind before it's all too late. It really does need shortening though. It could lose an hour and - tightened up - have a much more focussed and impactful storyline that would hold the attention just as well as any Western equivalents. It does need a big screen to get the best from the creativity of the visuals but students of physics (astro or otherwise) may blush at some of it!",7.7,6.0,"Science Fiction,Action,Drama",False,2023-01-22,China Film Group Corporation
Prizefighter: The Life of Jem Belcher,943822,"Matt Hookings isn't very convincing here in this rather sketchy biopic of British boxer Jeb Belcher. On the plus side, it conveys really well the gritty side of life in Victorian Britain where the genteel, ostensibly refined, upper class routinely used the travails of the working class as a source of entertainment. This young lad finds himself trained in the school of hard knocks by Russell Crowe's ""Slack"" whilst being fairly shamelessly manipulated by the clever ""Lord Rushworth"" (an overly hammy Marton Csokas). The narrative tries quite hard to offer us a plausible series of scenarios as the young man rises from obscurity, but the production is not good. It has a ""digital"" look to it; there is little authentic about the style and though there is a modest amount of pugilism contained, the presence of the one-gear Ray Winstone (""Warr"") adds little to this remarkably sterile period drama. The usually reliable Steven Berkoff is completely under-used, and Julian Glover's ""Lord Ashford"" is straight out of ""For Your Eyes Only"" (1981). It's a fitting topic for a biopic. The brutality not just of their chosen, bare knuckle, way out of abject poverty but also of the way in which these men were carefully exploited by others rich and poor as if they were little better than cattle is something worth laying bare. Sadly, though, Daniel Graham has focused too much on delivering a big name supporting cast and left much of the writing and character development to simmer rather than boil. This is an adequate television movie, but a real missed opportunity to depict the story of a tenacious and wily fella.",6.33,5.0,"Drama,History",False,2022-06-30,Unknown
Avatar: The Way of Water,76600,"**Avatar: The Way of Water follows in its predecessor’s footsteps with stunning effects and a mediocre story.**  It’s a James Cameron film, so it’s impressive. The special effects, camerawork, world-building, and action were all off the charts. But Avatar: The Way of Water struggles like its predecessor in the story and character development departments. In fact, the story of The Way of Water is almost identical to the first Avatar. Instead of humans learning to be Na’vi and then fighting Stephen slang, a family of forest Na’vi learns to be ocean Na’vi and then fight Stephen Lang. But the new movie also focuses on a group of annoying teens that constantly get themselves in trouble and peril over and over again throughout the much too long 3+ hour runtime and sidelining better, more established characters. All the strengths and weaknesses of the first movie are back in this one, with the bonus of being compared to the original at every turn. It really is a visual feast and special effects masterpiece, but just like the first Avatar, that’s all it is.",7.728,6.0,"Science Fiction,Adventure,Action",False,2022-12-14,20th Century Studios
Shazam! Fury of the Gods,594767,"**Shazam! Fury of the Gods remembered everything that made its predecessor so delightful and delivered a sequel as fun as the first!**  Shazam! Fury of the Gods matches the fun of the first film while, in typical sequel fashion, increasing the action, effects, and scope of the Shazam franchise. Despite being a Shazam movie, Freddy is the primary focus of the film, which I was unsure about at first but enjoyed as the story progressed. Fury of the Gods had many more characters to juggle, leading to some of the Shazam family being sidelined and the villains being reasonably stereotypical. However, all the charm was still there, helping overshadow these flaws. Djimon Hounsou and Helen Mirren brought some maturity and class to the goofball cast, and Zachary Levi was a blast, as always. If you enjoyed the first film, you will also love Fury of the Gods. It’s a bigger serving of all the delight, optimism, and horror-flavoring that made the original great.",7.0,7.0,"Action,Comedy,Fantasy",False,2023-03-15,New Line Cinema
Shark Side of the Moon,1011679,"So bad its good. Shark Side of the Moon is one of those low budget numbers, you know is going to be kind of cheesy. Indeed, there's no shortage of cheddar but what's intriguing, is its actually quite watchable.  In spite of amateurish special effects, plot holes galore and a predictably ridiculous story, there's enough creativity and commitment from the actors, to bring this one together.  I liked Shark Side of the Moon in all its garish B grade glory. You might too. Worth a look....",5.304,4.0,"Action,Science Fiction,Thriller,Horror",False,2022-08-12,The Asylum
One Piece Film Red,900667,"Nope, sorry! Didn't get the memo. This is just a mess. ""Uta"" is a famous singer who believes she may have the power to use song to unite the largely dysfunctional world against some marauding pirates. The world government and it's navy tries hard, but it cannot quite combat these ruthless and quirky characters - amongst whom she must count her own father ""Shanks"". The thing is, though, that ""Uta"" and her slew of unremarkable power ballads strides two dimensions and gradually we begin to worry that she is perhaps not the altruist that it appears at the start. Perhaps she has evil aspirations of her own; or is being manipulated in some way? I am a big fan of Japanese animé usually, but this is all over the place. The story is weak and nigh-on impossible to follow with the characterisations shallow and almost non-existent. The supposedly cherubic voice of the young girl got right on my nerves from very early on, and the animations (except for, perhaps, at the end when the are lively and vivid) are almost comic book page-flicked in their delivery. Of course there is an inevitability about the ending, but in this case the journey to that conclusion is a maelstrom of confusion and un-engaging plot and personalities that left me cold. Maybe I just wasn't in the mood - but I just could not get into this.",7.502,5.0,"Animation,Adventure,Action,Fantasy",False,2022-08-06,Toei Animation
A Man Called Otto,937278,"Fans of the BBC sitcom ""One Foot in the Grave"" might recognise something of the ""Victor Meldrew"" in Tom Hanks' portrayal of the eponymous curmudgeon. Formerly head of the community association, he takes it upon himself each morning to do his ""rounds"" - checking the gates are closed, the permits are displayed, the recycling is correct - all pretty anal, really. A combination of circumstances are about to rock his rather pedestrian world, though. He is laid off after thirty-odd years at work, a deed which renders him pretty rudderless; and he gets new neighbours - ""Marisol"" (Mariana Treviño), husband ""Tommy"" (Manuel Garcia-Ruffo) and their two daughters. Now their arrival causes him no end of irritation (and, if truth be told - for me too!). The family are pretty hapless and soon ""Otto"" finds himself helping them out and gradually, her forceful and annoying character starts to morph into something more accommodating and he begins to feel just a tad useful. Now it ought to be said that most of this story evolves against a backdrop of attempts by the older man to kill himself. There is humour to be had here, as well a rather nuanced message illustrating the effects of loneliness and a general resignation that the fruitful section of his life is finished. Gradually using ""Marisol"" and a few other neighbours as conduits, we learn of the tragedies that have led him to his current predicament, and to a position where there might just be a new light at the end of his tunnel. From a character perspective, I preferred the ""Otto"" at the start of the film. A rather bitter and amusingly sarcastic figure, but as the plot develops we lose that sharpness, the story becomes a little too cluttered and I found the initial poignancy falls away as a rather sentimental degree of melodrama edges into it all. Still, Hanks offers a strong performance and after her distinctly annoying start I found myself increasingly engaged with the whole family across the road who might just offer ""Otto"" some validation and/or salvation. It's also a remarkable understatedly inclusive film. This community has all sorts of colours, shapes and sizes - and ""Otto"" for all his faults, has no truck with discrimination. This inclusiveness is delivered to us quietly as if it is all no big deal. A more productive and subtle method than many offering the screamingly obvious box-ticking characterisations. This is a good film, not a great one, and I am not sure it needs to be seen in a cinema - but I would certainly suggest you do get round to watching it.",7.884,7.0,"Comedy,Drama",False,2022-12-28,Playtone
Jeepers Creepers: Reborn,717728,"Say what you will, the original Jeeper's Creepers films, especially the first one, were master classes in budget horror.  Everything that came after, hasn't lived up to the original. Jeepers Creepers Reborn, is, for my money, just another off the shelf, rather mediocre, knock off.   The story largely overlooks the factors that made the original film, so compellingly chilling. The slowly building tension, the gradual realisation that the pursuer is something worse than a garden house variety serial killer. In other words, the film ""creeps"" up on you.   This film plays more like a run of the mill slasher flick, without the jump scares. The results not frightening or even a little chilling.   I'd describe everything else as ""alright"", from acting, sets through to  horror effects.  In summary, this one failed to resonate with me. I do not feel it came even close, to recapturing the essence of what made the original Creeper films disturbing cult icons of horror.",5.762,4.0,"Horror,Thriller,Mystery",False,2022-09-15,Orwo Studios (US)
Sniper: The White Raven,966220,"One sided, that how I'd describe Sniper: the White Raven.   Lets start with the positive, this film has a basic but solid story, its well acted, action scenes are compelling and visuals are polished.   That said, its also only presenting one side of a two sided conflict between Russia, the break away Ukraine republics, who Russia's government supports and the Ukrainian government. I get it, this is a pro Ukraine film but this fact should be kept in mind, when watching.   In summary, moderately well done but it needs be said there is more than one side to any story.",7.6,5.0,"War,Drama",False,2022-05-03,UM Group
One Piece Film Red,900667,"Nope, sorry! Didn't get the memo. This is just a mess. ""Uta"" is a famous singer who believes she may have the power to use song to unite the largely dysfunctional world against some marauding pirates. The world government and it's navy tries hard, but it cannot quite combat these ruthless and quirky characters - amongst whom she must count her own father ""Shanks"". The thing is, though, that ""Uta"" and her slew of unremarkable power ballads strides two dimensions and gradually we begin to worry that she is perhaps not the altruist that it appears at the start. Perhaps she has evil aspirations of her own; or is being manipulated in some way? I am a big fan of Japanese animé usually, but this is all over the place. The story is weak and nigh-on impossible to follow with the characterisations shallow and almost non-existent. The supposedly cherubic voice of the young girl got right on my nerves from very early on, and the animations (except for, perhaps, at the end when the are lively and vivid) are almost comic book page-flicked in their delivery. Of course there is an inevitability about the ending, but in this case the journey to that conclusion is a maelstrom of confusion and un-engaging plot and personalities that left me cold. Maybe I just wasn't in the mood - but I just could not get into this.",7.502,5.0,"Animation,Adventure,Action,Fantasy",False,2022-08-06,Toei Animation
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,876792,"I was really quite disappointed with this rather dryly animated fantasy adventure. It all starts when poor old ""Mikami"" gets himself murdered and is reincarnated in another world where he is thrust into a maelstrom of adventures centring around the beautiful, but mysterious, Queen ""Towa"" of the small kingdom of ""Raja"". She has been served loyally for many years by the ogre warrior ""Hiro"" who now has his work cut out for him when she falls ill and their water supply appears to have become distinctly malignant! His travels for an answer unite him with our recently arrived ""Rimuru"" who has already attained the status of demon lord and now they must strive to get to source of this malevolent curse in time. I suppose my biggest problem with this, is that the characterisations are drawn entirely from the preceding series'. If you don't know about them (I didn't) then much of this takes quite a while to get straight in your mind; who's who, etc. That's a shame, because as a well produced stand-alone movie, it ought to have acknowledged that new viewers, less familiar viewers, might want to join in. Yasuhito Kikuchi makes no such effort and so, largely devoid of character development, I felt rather out in the cold watching with little sense of involvement. It's still quite a passable adventure story, and there is plenty of action - but I felt a little as if I was watching through the (closed) shop window.",6.9,6.0,"Animation,Fantasy,Adventure",False,2022-11-25,8bit
RRR,579974,"Taught me that Indian movies apparently should just be ignored, as ratings apparently tell you absolutely nothing about the quality of a film.  This is perhaps the worst acting I've ever seen - Plan 9 from Outer Space included - with post-production dubbed voices to boot! Add to that the most cringey, cartoonish pathetic storyline, and you're seriously wondering if this is all a joke. No, SERIOUSLY wondering.  I considered I might keep watching for the laughs (I was laughing from the very first scene with the lip surgery receiving evil white woman sitting in the jungle in the 1920s surrounded by kneeling indigenous worshippers and a terribly-dubbed studio recording of a little girl singing, with the girl not even remote knowing the lyrics and making all the wrong mouth movements to pretend it's actually her doing the singing). But then I realized at 3h5m, the cringey OMG-it's-so-bad-it's-funny laughs definitely wouldn't last that long.  Holy graboid on a blind horse, Batman, this is so bad!  No more Indian movies for me. Lesson learned.",7.789,1.0,"Action,Drama",False,2022-03-24,DVV Entertainment
Fullmetal Alchemist: The Revenge of Scar,960700,"Whilst I'm not a Manga fan, the live action Fullmetal Alchemist films have caught my attention. This is the second, the first dates from 2017.  The cyber punk style story is anything but linear, with plots  and sub plots. I have found this approach to story construction is typical, of a large number of Asian films and series. You really do need to pay attention or it can quickly become confusing. The tales overriding reflections on the horrors of war and the need to endure its aftermath, are universal.  Characterisations are well rounded and mostly relatable, with competent acting from the cast. That said, its worth keeping in mind the motivations and behaviours, of the characters might feel a little different and even quirky. This is to be expected, as this film mirrors Asian not Western attitudes and cultural norms.  Action is plentiful and polished, with more than decent special effects. Certainly, this film is never going to bore action fans.  Is there a downside? At times it did feel a little silly. Some  of the humour in particular, comes across as rather slapstick. That said, it could just be my cultural perspective and probably is, in truth.   Characterisations can be over the top at times but maybe that's just Manga? I don't know.  I summary, can't comment on the integrity of the translation from comic/animation format to live character action. That said, as a non Manga purist, it really doesn't matter.I liked this film and look forward to the third instalment in the series.",6.8,6.0,"Fantasy,Action,Adventure",False,2022-05-20,Warner Bros. Japan
